Issue ID,Issue,Issue description,#Comments,Reported date,Fixed date,DateDiff (days),Issue Type,#Contributors,Priority
33476,HTML5 Drag and drop regression,"Chrome Version 4.0.302.2 dev : <from About Google 
Chrome/Chromium>
URLs (if applicable) : N/A
OS version Leopard : <from About This Mac>
Behavior in Safari 3.x/4.x (if applicable): N/A
Behavior in Firefox 3.x (if applicable): N/A
Behavior in Chrome for Windows: N/A

What steps will reproduce the problem?
1. Try to move a top site on the new tab page.

What is the expected result? For the top site to move.


What happens instead? The Top Site bounces back to where it was before.",10,1/29/2010,3/30/2010,60,Bug-regression,4,2
38233,ChromeClientImpl::windowToScreen utterly broken for resolution independence,"ChromeClientImpl::windowToScreen converts from window coordinates to screen
coordinates by just adding on the offset of the window. That wroooong. Both
ChromeClientImpl::screenToWindow and ChromeClientImpl::windowToScreen
should be ripped out, and anyone using them should be passing local
coordinates to the view system, which has the ability to actually do the
correct calculations.",9,3/16/2010,6/27/2016,2295,Bug,1,2
55587,DRT: blob scheme is not registered,"The following blob-related tests do not pass with the Chromium DRT:

fast/files/apply-blob-url-to-img.html
fast/files/apply-blob-url-to-xhr.html
fast/files/read-blob-async.html
http/tests/local/blob/send-data-blob.html
http/tests/local/blob/send-hybrid-blob.html
http/tests/local/blob/send-sliced-data-blob.html
http/tests/local/send-sliced-dragged-file.html
http/tests/local/formdata/send-form-data-with-sliced-file.html

This is because the blob: URL scheme is not registered in the Chromium DRT (only in test_shell)",2,9/15/2010,9/15/2010,0,Bug,3,2
72843,Expose WebKit logging to the chrome command line,"While debugging Issue 68622, I found I had to recompile to switch webkit logging levels. The API is *almost* there to bring it to the command line, so how about we do that instead?

The API is WebKit::enableLogChannel, perhaps just pass down a list of channels to WebKit::initialize, or call enableLogChannel in RenderTHread::EnsureWebKitInitialized ?",2,2/13/2011,2/17/2011,4,Feature,2,2
77721,Leak in gfx::GfxModule::GetBitmapNamed,"http://build.chromium.org/p/chromium.memory/builders/Webkit%20Linux%20%28valgrind%20layout%29/builds/6498/steps/memory%20test%3A%20layout/logs/stdio

run_webkit_tests.py --run-singly -v --noshow-results --time-out-ms=200000 --nocheck-sys-deps --run-chunk=369:60

Leak_DefinitelyLost
764 (40 direct, 724 indirect) bytes in 1 blocks are definitely lost in loss record 3,658 of 3,795
operator new(unsigned int) (mp/valgrind-src/valgrind-memcheck/valgrind/coregrind/m_replacemalloc/vg_replace_malloc.c:255)
gfx::GfxModule::GetBitmapNamed(int) (ui/gfx/gfx_module.cc:44)
gfx::NativeThemeLinux::PaintCheckbox(skia::PlatformCanvas*, gfx::NativeThemeLinux::State, gfx::Rect const&, gfx::NativeThemeLinux::ButtonExtraParams const&) (ui/gfx/native_theme_linux.cc:398)
gfx::NativeThemeLinux::Paint(skia::PlatformCanvas*, gfx::NativeThemeLinux::Part, gfx::NativeThemeLinux::State, gfx::Rect const&, gfx::NativeThemeLinux::ExtraParams const&) (ui/gfx/native_theme_linux.cc:253)
webkit_glue::WebThemeEngineImpl::paint(skia::PlatformCanvas*, WebKit::WebThemeEngine::Part, WebKit::WebThemeEngine::State, WebKit::WebRect const&, WebKit::WebThemeEngine::ExtraParams const*) (webkit/glue/webthemeengine_impl_linux.cc:180)
WebCore::PlatformBridge::paintThemePart(WebCore::GraphicsContext*, WebCore::PlatformBridge::ThemePart, WebCore::PlatformBridge::ThemePaintState, WebCore::IntRect const&, WebCore::PlatformBridge::ThemePaintExtraParams const*) (third_party/WebKit/Source/WebKit/chromium/src/PlatformBridge.cpp:885)
WebCore::RenderThemeChromiumLinux::paintCheckbox(WebCore::RenderObject*, WebCore::PaintInfo const&, WebCore::IntRect const&) (third_party/WebKit/Source/WebCore/rendering/RenderThemeChromiumLinux.cpp:193)
WebCore::RenderTheme::paint(WebCore::RenderObject*, WebCore::PaintInfo const&, WebCore::IntRect const&) (third_party/WebKit/Source/WebCore/rendering/RenderTheme.cpp:282)
WebCore::RenderBox::paintBoxDecorationsWithSize(WebCore::PaintInfo&, int, int, int, int) (third_party/WebKit/Source/WebCore/rendering/RenderBox.cpp:819)
WebCore::RenderBox::paintBoxDecorations(WebCore::PaintInfo&, int, int) (third_party/WebKit/Source/WebCore/rendering/RenderBox.cpp:804)
WebCore::RenderBlock::paintObject(WebCore::PaintInfo&, int, int) (third_party/WebKit/Source/WebCore/rendering/RenderBlock.cpp:2413)
WebCore::RenderBlock::paint(WebCore::PaintInfo&, int, int) (third_party/WebKit/Source/WebCore/rendering/RenderBlock.cpp:2221)
WebCore::InlineBox::paint(WebCore::PaintInfo&, int, int) (third_party/WebKit/Source/WebCore/rendering/InlineBox.cpp:177)
WebCore::InlineFlowBox::paint(WebCore::PaintInfo&, int, int) (third_party/WebKit/Source/WebCore/rendering/InlineFlowBox.cpp:912)
WebCore::RootInlineBox::paint(WebCore::PaintInfo&, int, int) (third_party/WebKit/Source/WebCore/rendering/RootInlineBox.cpp:183)
WebCore::RenderLineBoxList::paint(WebCore::RenderBoxModelObject*, WebCore::PaintInfo&, int, int) const (third_party/WebKit/Source/WebCore/rendering/RenderLineBoxList.cpp:257)
WebCore::RenderBlock::paintContents(WebCore::PaintInfo&, int, int) (third_party/WebKit/Source/WebCore/rendering/RenderBlock.cpp:2331)
WebCore::RenderBlock::paintObject(WebCore::PaintInfo&, int, int) (third_party/WebKit/Source/WebCore/rendering/RenderBlock.cpp:2441)
WebCore::RenderBlock::paint(WebCore::PaintInfo&, int, int) (third_party/WebKit/Source/WebCore/rendering/RenderBlock.cpp:2221)
WebCore::RenderBlock::paintChildren(WebCore::PaintInfo&, int, int) (third_party/WebKit/Source/WebCore/rendering/RenderBlock.cpp:2374)
WebCore::RenderBlock::paintContents(WebCore::PaintInfo&, int, int) (third_party/WebKit/Source/WebCore/rendering/RenderBlock.cpp:2333)
WebCore::RenderBlock::paintObject(WebCore::PaintInfo&, int, int) (third_party/WebKit/Source/WebCore/rendering/RenderBlock.cpp:2441)
WebCore::RenderBlock::paint(WebCore::PaintInfo&, int, int) (third_party/WebKit/Source/WebCore/rendering/RenderBlock.cpp:2221)
WebCore::RenderBlock::paintChildren(WebCore::PaintInfo&, int, int) (third_party/WebKit/Source/WebCore/rendering/RenderBlock.cpp:2374)
WebCore::RenderBlock::paintContents(WebCore::PaintInfo&, int, int) (third_party/WebKit/Source/WebCore/rendering/RenderBlock.cpp:2333)
WebCore::RenderBlock::paintObject(WebCore::PaintInfo&, int, int) (third_party/WebKit/Source/WebCore/rendering/RenderBlock.cpp:2441)
WebCore::RenderBlock::paint(WebCore::PaintInfo&, int, int) (third_party/WebKit/Source/WebCore/rendering/RenderBlock.cpp:2221)
WebCore::RenderLayer::paintLayer(WebCore::RenderLayer*, WebCore::GraphicsContext*, WebCore::IntRect const&, unsigned int, WebCore::RenderObject*, WTF::HashMap<WebCore::OverlapTestRequestClient*, WebCore::IntRect, WTF::PtrHash<WebCore::OverlapTestRequestClient*>, WTF::HashTraits<WebCore::OverlapTestRequestClient*>, WTF::HashTraits<WebCore::IntRect> >*, unsigned int) (third_party/WebKit/Source/WebCore/rendering/RenderLayer.cpp:2523)
WebCore::RenderLayer::paintList(WTF::Vector<WebCore::RenderLayer*, 0u>*, WebCore::RenderLayer*, WebCore::GraphicsContext*, WebCore::IntRect const&, unsigned int, WebCore::RenderObject*, WTF::HashMap<WebCore::OverlapTestRequestClient*, WebCore::IntRect, WTF::PtrHash<WebCore::OverlapTestRequestClient*>, WTF::HashTraits<WebCore::OverlapTestRequestClient*>, WTF::HashTraits<WebCore::IntRect> >*, unsigned int) (third_party/WebKit/Source/WebCore/rendering/RenderLayer.cpp:2576)
WebCore::RenderLayer::paintLayer(WebCore::RenderLayer*, WebCore::GraphicsContext*, WebCore::IntRect const&, unsigned int, WebCore::RenderObject*, WTF::HashMap<WebCore::OverlapTestRequestClient*, WebCore::IntRect, WTF::PtrHash<WebCore::OverlapTestRequestClient*>, WTF::HashTraits<WebCore::OverlapTestRequestClient*>, WTF::HashTraits<WebCore::IntRect> >*, unsigned int) (third_party/WebKit/Source/WebCore/rendering/RenderLayer.cpp:2544)
Suppression (error hash=#FFFFFFFFAFD38A08#):
{
<insert_a_suppression_name_here>
Memcheck:Leak
fun:_Znw*
fun:_ZN3gfx9GfxModule14GetBitmapNamedEi
fun:_ZN3gfx16NativeThemeLinux13PaintCheckboxEPN4skia14PlatformCanvasENS0_5StateERKNS_4RectERKNS0_17ButtonExtraParamsE
fun:_ZN3gfx16NativeThemeLinux5PaintEPN4skia14PlatformCanvasENS0_4PartENS0_5StateERKNS_4RectERKNS0_11ExtraParamsE
fun:_ZN11webkit_glue18WebThemeEngineImpl5paintEPN4skia14PlatformCanvasEN6WebKit14WebThemeEngine4PartENS5_5StateERKNS4_7WebRectEPKNS5_11ExtraParamsE
fun:_ZN7WebCore14PlatformBridge14paintThemePartEPNS_15GraphicsContextENS0_9ThemePartENS0_15ThemePaintStateERKNS_7IntRectEPKNS0_21ThemePaintExtraParamsE
fun:_ZN7WebCore24RenderThemeChromiumLinux13paintCheckboxEPNS_12RenderObjectERKNS_9PaintInfoERKNS_7IntRectE
fun:_ZN7WebCore11RenderTheme5paintEPNS_12RenderObjectERKNS_9PaintInfoERKNS_7IntRectE
fun:_ZN7WebCore9RenderBox27paintBoxDecorationsWithSizeERNS_9PaintInfoEiiii
fun:_ZN7WebCore9RenderBox19paintBoxDecorationsERNS_9PaintInfoEii
fun:_ZN7WebCore11RenderBlock11paintObjectERNS_9PaintInfoEii
fun:_ZN7WebCore11RenderBlock5paintERNS_9PaintInfoEii
fun:_ZN7WebCore9InlineBox5paintERNS_9PaintInfoEii
fun:_ZN7WebCore13InlineFlowBox5paintERNS_9PaintInfoEii
fun:_ZN7WebCore13RootInlineBox5paintERNS_9PaintInfoEii
fun:_ZNK7WebCore17RenderLineBoxList5paintEPNS_20RenderBoxModelObjectERNS_9PaintInfoEii
fun:_ZN7WebCore11RenderBlock13paintContentsERNS_9PaintInfoEii
fun:_ZN7WebCore11RenderBlock11paintObjectERNS_9PaintInfoEii
fun:_ZN7WebCore11RenderBlock5paintERNS_9PaintInfoEii
fun:_ZN7WebCore11RenderBlock13paintChildrenERNS_9PaintInfoEii
fun:_ZN7WebCore11RenderBlock13paintContentsERNS_9PaintInfoEii
fun:_ZN7WebCore11RenderBlock11paintObjectERNS_9PaintInfoEii
}",5,3/29/2011,4/5/2011,7,Bug,1,2
99063,ChromeFrame foreground popup windows in IE6 don't come into the foreground.,"This can be reproduced by logging into gmail with IE6 and then opening
up a conversation window or by popping out a chat window.

The new window at times opens up behind the main IE6 window which makes such sites unusable at times.",2,10/5/2011,10/6/2011,1,Bug,4,2
100077,Chrome: Crash Report - Stack Signature: WebCore::VideoLayerChromium::texturesValid,"Product: Chrome
Stack Signature: WebCore::VideoLayerChromium::texturesValid()-4393BF3
New Signature Label: WebCore::VideoLayerChromium::texturesValid()
New Signature Hash: 18d48321_f44fa8b9_268231d2_e7f0757f_b9628a85

Report link: http://go/crash/reportdetail?reportid=09fc05ff8c57409f

Meta information:
Product Name: Chrome
Product Version: 16.0.904.0
Report ID: 09fc05ff8c57409f
Report Time: 2011/10/12 10:44:50, Wed
Uptime: 12568 sec
Cumulative Uptime: 0 sec
OS Name: Windows NT
OS Version: 5.1.2600 Service Pack 3
CPU Architecture: x86
CPU Info: GenuineIntel family 6 model 37 stepping 2
ptype renderer
switch-1 --lang=en-US
switch-2 --extension-process
switch-3 --enable-print-preview

Thread 0 *CRASHED* ( EXCEPTION_ACCESS_VIOLATION_READ @ 0x00000008 )

0x029bdc1d [chrome.dll - videolayerchromium.cpp:192 WebCore::VideoLayerChromium::texturesValid()
0x029bd968 [chrome.dll - videolayerchromium.cpp:86 WebCore::VideoLayerChromium::updateCompositorResources(WebCore::GraphicsContext3D *,WebCore::TextureAllocator *)
0x029ad988 [chrome.dll - cclayertreehost.cpp:397 WebCore::CCLayerTreeHost::updateCompositorResources(WebCore::LayerChromium *,WebCore::GraphicsContext3D *,WebCore::TextureAllocator *)
0x029ad90d [chrome.dll - cclayertreehost.cpp:378 WebCore::CCLayerTreeHost::updateCompositorResources(WTF::Vector<WTF::RefPtr<WebCore::LayerChromium>,0> const &,WebCore::GraphicsContext3D *,WebCore::TextureAllocator *)
0x029ad3d9 [chrome.dll - cclayertreehost.cpp:128 WebCore::CCLayerTreeHost::commitToOnCCThread(WebCore::CCLayerTreeHostImpl *)
0x029d276a [chrome.dll - ccsinglethreadproxy.cpp:251 WebCore::CCSingleThreadProxy::commitIfNeeded()
0x0239a50a [chrome.dll - webviewimpl.cpp:1171 WebKit::WebViewImpl::composite(bool)
0x021beb2f [chrome.dll - render_widget.cc:811 RenderWidget::DoDeferredUpdate()
0x021be4e6 [chrome.dll - render_widget.cc:679 RenderWidget::DoDeferredUpdateAndSendInputAck()
0x021bd715 [chrome.dll - render_widget.cc:367 RenderWidget::OnUpdateRectAck()
0x021adcc9 [chrome.dll - ipc_message.h:137 IPC::Message::Dispatch<RenderView,RenderView>(IPC::Message const *,RenderView *,RenderView *,void ( RenderView::*)(void))
0x021bd026 [chrome.dll - render_widget.cc:190 RenderWidget::OnMessageReceived(IPC::Message const &)
0x021a2ea6 [chrome.dll - render_view.cc:684 RenderView::OnMessageReceived(IPC::Message const &)
0x01c43cac [chrome.dll - message_router.cc:46 MessageRouter::RouteMessage(IPC::Message const &)
0x01c43c86 [chrome.dll - message_router.cc:38 MessageRouter::OnMessageReceived(IPC::Message const &)
0x01c4010b [chrome.dll - child_thread.cc:169 ChildThread::OnMessageReceived(IPC::Message const &)
0x022fcb8a [chrome.dll - task.h:349 RunnableMethod<CrxInstaller,void ( CrxInstaller::*)(std::basic_string<char,std::char_traits<char>,std::allocator<char> > const &),Tuple1<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::Run()
0x01d5c5e6 [chrome.dll - task.cc:71 base::subtle::TaskClosureAdapter::Run()
0x01d55545 [chrome.dll - message_loop.cc:481 MessageLoop::RunTask(MessageLoop::PendingTask const &)
0x01d555b1 [chrome.dll - message_loop.cc:497 MessageLoop::DeferOrRunPendingTask(MessageLoop::PendingTask const &)
0x01d55937 [chrome.dll - message_loop.cc:687 MessageLoop::DoWork()
0x01d6e0fc [chrome.dll - message_pump_default.cc:50 base::MessagePumpDefault::Run(base::MessagePump::Delegate *)
0x01d5546e [chrome.dll - message_loop.cc:444 MessageLoop::RunInternal()
0x01d553f3 [chrome.dll - message_loop.cc:417 MessageLoop::RunHandler()
0x01d55385 [chrome.dll - message_loop.cc:341 MessageLoop::Run()
0x021a1521 [chrome.dll - renderer_main.cc:228 RendererMain(MainFunctionParams const &)
0x01d76d0c [chrome.dll - content_main.cc:252 `anonymous namespace'::RunNamedProcessTypeMain(std::basic_string<char,std::char_traits<char>,std::allocator<char> > const &,MainFunctionParams const &,content::ContentMainDelegate *)
0x01d770a2 [chrome.dll - content_main.cc:442 content::ContentMain(HINSTANCE__ *,sandbox::SandboxInterfaceInfo *,content::ContentMainDelegate *)
0x01c32955 [chrome.dll - chrome_main.cc:28 ChromeMain
0x00401dea [chrome.exe - client_util.cc:346 MainDllLoader::Launch(HINSTANCE__ *,sandbox::SandboxInterfaceInfo *)
0x004010c8 [chrome.exe - chrome_exe_main_win.cc:36 wWinMain
0x0045a1c7 [chrome.exe - crt0.c:263 __tmainCRTStartup
0x7c817076 [kernel32.dll + 0x00017076] BaseProcessStart",11,10/13/2011,2/17/2012,127,Bug-regression,3,1
100722,about:gpu reports accelerated canvas acceleration even though its off,"Chrome Version : 16.0.912.0
OS Version: OS X 10.6.8
URLs (if applicable) :
Other browsers tested:
Add OK or FAIL after other browsers where you have tested this issue:
Safari 5:
Firefox 4.x:
IE 7/8/9:

What steps will reproduce the problem?
1. go to about:gpu
2. Accelerated canvas is reported as on

It seems that we have this type of bug every time we tweak accelerated rendering. The core issue is that the people doing the change of behavior aren't paying attention to about:gpu, and vice versa.

Is there a way we can make this less fragile while also fixing the issue?",10,10/19/2011,11/2/2011,14,Bug,2,2
105157,Heap-use-after-free in WebCore::InlineFlowBox::removeChild,"Detailed report: https://cluster-fuzz.appspot.com/testcase?key=839022

Fuzzer: Marty_html_twiddler

Crash Type: Heap-use-after-free READ 1
Crash Address: 0x7faa899414b5
Crash State:
- crash stack -
WebCore::InlineFlowBox::removeChild
WebCore::RenderText::removeAndDestroyTextBoxes
- free stack -
WebCore::RenderLineBoxList::deleteLineBoxes
WebCore::RenderBlock::removeChild


Minimized Testcase (2.02 Kb): https://cluster-fuzz.appspot.com/download/AMIfv95ReDo31OBMkqOf5m1Gs4oXMfDvuUxx5tYfPyHN6-mmR-JPiBDjH2Xmeu33JCQsAS16jxpuURVxV5v_75KQIWJPdwV1kP2Kk9fwgVcvIA_jHn92WpIdoRPl4pTfHuuVChCvev4sOs6HCal9RjC5ytPxTGv6sA",18,11/23/2011,5/16/2012,175,Bug-security,9,1
107457,Be more aggressive with errors caused by missing files in the disk cache.,"It looks like some crappy third party apps attempt to delete cache files under chrome without doing a very good job.

So far, we treat file IO errors as ""soft"", because they may go away next time (may be an AV temporarily preventing an operation, for instance). We should really doom entries as soon as we see something that doesn't add up (like when we cannot open a file to read the data), so at least next time we'll have to fetch content from the net instead of failing again.",3,12/14/2011,12/21/2011,7,Bug,5,2
